OTU,percentage_identity,isolate
Rikenellaceae_RC9_gut_group_3199,,no_isolate
Rikenellaceae_RC9_gut_group_3200,,no_isolate
Rikenellaceae_RC9_gut_group_3203,,no_isolate
Rikenellaceae_RC9_gut_group_3205,,no_isolate
Rikenellaceae_RC9_gut_group_3208,,no_isolate
Rikenellaceae_RC9_gut_group_3209,,no_isolate
Rikenellaceae_RC9_gut_group_3213,,no_isolate
Rikenellaceae_RC9_gut_group_3214,,no_isolate
Pedobacter_3239,,no_isolate
Mucilaginibacter_3250,,no_isolate
Lentimicrobiaceae_3257,,no_isolate
Lentimicrobiaceae_3266,,no_isolate
Lentimicrobiaceae_3268,,no_isolate
Lentimicrobiaceae_3271,,no_isolate
Lentimicrobiaceae_3272,,no_isolate
Lentimicrobiaceae_3273,,no_isolate
Chitinophagaceae_3306,,no_isolate
Chitinophagaceae_3311,,no_isolate
Chitinophagaceae_3315,,no_isolate
Chitinophagaceae_3316,,no_isolate
Chitinophagaceae_3326,,no_isolate
env.OPS_17_3352,,no_isolate
F0058_3372,,no_isolate
F0058_3374,,no_isolate
Odoribacter_3383,,no_isolate
Porphyromonas_3392,,no_isolate
Porphyromonas_3395,,no_isolate
Muribaculaceae_3411,,no_isolate
Muribaculaceae_3429,,no_isolate
Muribaculaceae_3432,,no_isolate
Muribaculaceae_3443,,no_isolate
Muribaculaceae_3450,,no_isolate
Muribaculaceae_3463,,no_isolate
Porphyromonas_3471,,no_isolate
Porphyromonas_3577,,no_isolate
Porphyromonas_3638,,no_isolate
Porphyromonas_3639,,no_isolate
Porphyromonas_3640,,no_isolate
Porphyromonas_3641,,no_isolate
Porphyromonas_3642,,no_isolate
Porphyromonas_3645,,no_isolate
Porphyromonas_3662,,no_isolate
Porphyromonas_3663,,no_isolate
Porphyromonas_3686,,no_isolate
Porphyromonas_3714,,no_isolate
Porphyromonas_3716,,no_isolate
Porphyromonas_3720,,no_isolate
Porphyromonas_3721,,no_isolate
Porphyromonas_3727,,no_isolate
Porphyromonas_3798,,no_isolate
Porphyromonas_3811,,no_isolate
Porphyromonas_3842,,no_isolate
Porphyromonas_3843,,no_isolate
Porphyromonas_3848,,no_isolate
Porphyromonas_3849,,no_isolate
Porphyromonas_3850,,no_isolate
Porphyromonas_3851,,no_isolate
Porphyromonas_3852,,no_isolate
Tannerella_3857,,no_isolate
Tannerella_3876,,no_isolate
Parabacteroides_3914,,no_isolate
Parabacteroides_3916,,no_isolate
Capnocytophaga_3920,,no_isolate
Capnocytophaga_3954,,no_isolate
Capnocytophaga_3966,,no_isolate
Capnocytophaga_3967,,no_isolate
Capnocytophaga_3968,,no_isolate
Capnocytophaga_3969,,no_isolate
Capnocytophaga_3990,,no_isolate
Capnocytophaga_3991,,no_isolate
Capnocytophaga_4019,,no_isolate
Capnocytophaga_4025,,no_isolate
Bergeyella_4030,,no_isolate
Bergeyella_4037,,no_isolate
Bergeyella_4046,,no_isolate
Cloacibacterium_4063,,no_isolate
Bergeyella_4065,,no_isolate
Bergeyella_4073,,no_isolate
Chryseobacterium_4099,,no_isolate
Chryseobacterium_4100,,no_isolate
Blattabacterium_4103,,no_isolate
Moheibacter_4104,,no_isolate
Empedobacter_4107,,no_isolate
Flavobacterium_4112,,no_isolate
Flavobacterium_4114,,no_isolate
Flavobacterium_4117,,no_isolate
Flavobacterium_4119,,no_isolate
Flavobacterium_4123,,no_isolate
Flavobacterium_4126,,no_isolate
Flavobacterium_4131,,no_isolate
Flavobacterium_4133,,no_isolate
Capnocytophaga_4203,,no_isolate
Capnocytophaga_4214,,no_isolate
Capnocytophaga_4216,,no_isolate
Capnocytophaga_4217,,no_isolate
Capnocytophaga_4218,,no_isolate
Capnocytophaga_4219,,no_isolate
Capnocytophaga_4222,,no_isolate
Capnocytophaga_4223,,no_isolate
Capnocytophaga_4224,,no_isolate
Capnocytophaga_4225,,no_isolate
Capnocytophaga_4228,,no_isolate
Capnocytophaga_4232,,no_isolate
Capnocytophaga_4233,,no_isolate
Capnocytophaga_4239,,no_isolate
Capnocytophaga_4246,,no_isolate
Capnocytophaga_4248,,no_isolate
Capnocytophaga_4249,,no_isolate
Capnocytophaga_4287,,no_isolate
Capnocytophaga_4302,,no_isolate
Capnocytophaga_4310,,no_isolate
Capnocytophaga_4337,,no_isolate
Capnocytophaga_4341,,no_isolate
Capnocytophaga_4342,,no_isolate
Capnocytophaga_4344,,no_isolate
Capnocytophaga_4345,,no_isolate
Alistipes_4437,,no_isolate
Alistipes_4438,,no_isolate
Alistipes_4440,,no_isolate
Alistipes_4444,,no_isolate
Adhaeribacter_4458,,no_isolate
Hymenobacter_4470,,no_isolate
Spirosomaceae_4486,,no_isolate
Catenibacterium_4527,,no_isolate
Erysipelotrichaceae_UCG-003_4529,,no_isolate
Erysipelatoclostridium_4531,,no_isolate
Acholeplasma_4564,,no_isolate
Acholeplasma_4567,,no_isolate
Acholeplasma_4568,,no_isolate
Anaeroplasma_4569,,no_isolate
Solobacterium_4582,,no_isolate
Solobacterium_4671,,no_isolate
Solobacterium_4673,,no_isolate
Solobacterium_4675,,no_isolate
Erysipelotrichaceae_UCG-007_4687,,no_isolate
Phascolarctobacterium_4692,,no_isolate
Fretibacterium_4697,,no_isolate
Fretibacterium_4700,,no_isolate
Fretibacterium_4702,,no_isolate
Family_XIII_4728,,no_isolate
Family_XIII_4729,,no_isolate
[Eubacterium]_brachy_group_4730,,no_isolate
Family_XIII_4735,,no_isolate
[Eubacterium]_nodatum_group_4741,,no_isolate
[Eubacterium]_nodatum_group_4742,,no_isolate
Mogibacterium_4753,,no_isolate
Mogibacterium_4754,,no_isolate
Mogibacterium_4758,,no_isolate
Family_XIII_4761,,no_isolate
[Eubacterium]_nodatum_group_4763,,no_isolate
Family_XIII_UCG-001_4767,,no_isolate
Family_XIII_UCG-001_4768,,no_isolate
Peptostreptococcaceae_4771,,no_isolate
Peptostreptococcaceae_4772,,no_isolate
Peptostreptococcaceae_4773,,no_isolate
[Eubacterium]_yurii_group_4775,,no_isolate
[Eubacterium]_yurii_group_4777,,no_isolate
[Eubacterium]_yurii_group_4779,,no_isolate
Finegoldia_4791,,no_isolate
Peptoniphilus_4798,,no_isolate
Peptoniphilus_4800,,no_isolate
Peptoniphilus_4807,,no_isolate
Peptoniphilus_4808,,no_isolate
Peptoniphilus_4810,,no_isolate
Peptoniphilus_4811,,no_isolate
W5053_4814,,no_isolate
W5053_4816,,no_isolate
Family_XI_4818,,no_isolate
Family_XI_4820,,no_isolate
Anaerococcus_4823,,no_isolate
Anaerococcus_4824,,no_isolate
Anaerococcus_4830,,no_isolate
Anaerococcus_4831,,no_isolate
Anaerococcus_4832,,no_isolate
Anaerococcus_4834,,no_isolate
Anaerococcus_4835,,no_isolate
Anaerococcus_4836,,no_isolate
Anaerococcus_4837,,no_isolate
Anaerococcus_4838,,no_isolate
Anaerococcus_4842,,no_isolate
Anaerococcus_4843,,no_isolate
W5053_4847,,no_isolate
[Clostridium]_innocuum_group_4855,,no_isolate
Holdemanella_4861,,no_isolate
Filifactor_4868,,no_isolate
Peptostreptococcaceae_4881,,no_isolate
Terrisporobacter_4884,,no_isolate
Romboutsia_4885,,no_isolate
Peptostreptococcus_4895,,no_isolate
Peptostreptococcus_4896,,no_isolate
Peptostreptococcus_4897,,no_isolate
Parvimonas_4927,,no_isolate
Parvimonas_4930,,no_isolate
Parvimonas_4940,,no_isolate
Parvimonas_4941,,no_isolate
Parvimonas_4944,,no_isolate
Parvimonas_4951,,no_isolate
Parvimonas_4953,,no_isolate
Parvimonas_4955,,no_isolate
Gemella_5133,99.517,Gemella n.sp. 27098_8_149
Gemella_5133,99.517,Gemella n.sp. 27098_8_155
Gemella_5133,99.517,Gemella n.sp. 27098_8_92
Gemella_5133,99.517,Gemella sanguinis_ 20925_1_41
Gemella_5133,99.517,Gemella sanguinis 20925_1_65
Gemella_5133,99.517,Gemella sanguinis 20925_1_66
Gemella_5133,99.517,Gemella sanguinis 27098_8_105
Gemella_5133,99.517,Gemella sanguinis 27098_8_106
Gemella_5135,99.517,Gemella n.sp. 27098_8_149
Gemella_5135,99.517,Gemella n.sp. 27098_8_155
Gemella_5135,99.517,Gemella n.sp. 27098_8_92
Gemella_5135,99.517,Gemella sanguinis_ 20925_1_41
Gemella_5135,99.517,Gemella sanguinis 20925_1_65
Gemella_5135,99.517,Gemella sanguinis 20925_1_66
Gemella_5135,99.517,Gemella sanguinis 27098_8_105
Gemella_5135,99.517,Gemella sanguinis 27098_8_106
Gemella_5138,99.517,Gemella n.sp. 27098_8_149
Gemella_5138,99.517,Gemella n.sp. 27098_8_155
Gemella_5138,99.517,Gemella n.sp. 27098_8_92
Gemella_5138,99.517,Gemella sanguinis_ 20925_1_41
Gemella_5138,99.517,Gemella sanguinis 20925_1_65
Gemella_5138,99.517,Gemella sanguinis 20925_1_66
Gemella_5138,99.517,Gemella sanguinis 27098_8_105
Gemella_5138,99.517,Gemella sanguinis 27098_8_106
Gemella_5139,100,Gemella n.sp. 27098_8_149
Gemella_5139,100,Gemella n.sp. 27098_8_155
Gemella_5139,100,Gemella n.sp. 27098_8_92
Gemella_5139,100,Gemella sanguinis_ 20925_1_41
Gemella_5139,100,Gemella sanguinis 20925_1_65
Gemella_5139,100,Gemella sanguinis 20925_1_66
Gemella_5139,100,Gemella sanguinis 27098_8_105
Gemella_5139,100,Gemella sanguinis 27098_8_106
Gemella_5140,99.517,Gemella n.sp. 27098_8_149
Gemella_5140,99.517,Gemella n.sp. 27098_8_155
Gemella_5140,99.517,Gemella n.sp. 27098_8_92
Gemella_5140,99.517,Gemella sanguinis_ 20925_1_41
Gemella_5140,99.517,Gemella sanguinis 20925_1_65
Gemella_5140,99.517,Gemella sanguinis 20925_1_66
Gemella_5140,99.517,Gemella sanguinis 27098_8_105
Gemella_5140,99.517,Gemella sanguinis 27098_8_106
Gemella_5143,99.034,Gemella n.sp. 27098_8_149
Gemella_5143,99.034,Gemella n.sp. 27098_8_155
Gemella_5143,99.034,Gemella n.sp. 27098_8_92
Gemella_5143,99.034,Gemella sanguinis_ 20925_1_41
Gemella_5143,99.034,Gemella sanguinis 20925_1_65
Gemella_5143,99.034,Gemella sanguinis 20925_1_66
Gemella_5143,99.034,Gemella sanguinis 27098_8_105
Gemella_5143,99.034,Gemella sanguinis 27098_8_106
Gemella_5145,99.517,Gemella n.sp. 27098_8_149
Gemella_5145,99.517,Gemella n.sp. 27098_8_155
Gemella_5145,99.517,Gemella n.sp. 27098_8_92
Gemella_5145,99.517,Gemella sanguinis_ 20925_1_41
Gemella_5145,99.517,Gemella sanguinis 20925_1_65
Gemella_5145,99.517,Gemella sanguinis 20925_1_66
Gemella_5145,99.517,Gemella sanguinis 27098_8_105
Gemella_5145,99.517,Gemella sanguinis 27098_8_106
Gemella_5146,99.517,Gemella n.sp. 27098_8_149
Gemella_5146,99.517,Gemella n.sp. 27098_8_155
Gemella_5146,99.517,Gemella n.sp. 27098_8_92
Gemella_5146,99.517,Gemella sanguinis_ 20925_1_41
Gemella_5146,99.517,Gemella sanguinis 20925_1_65
Gemella_5146,99.517,Gemella sanguinis 20925_1_66
Gemella_5146,99.517,Gemella sanguinis 27098_8_105
Gemella_5146,99.517,Gemella sanguinis 27098_8_106
Gemella_5150,99.517,Gemella n.sp. 27098_8_149
Gemella_5150,99.517,Gemella n.sp. 27098_8_155
Gemella_5150,99.517,Gemella n.sp. 27098_8_92
Gemella_5150,99.517,Gemella sanguinis_ 20925_1_41
Gemella_5150,99.517,Gemella sanguinis 20925_1_65
Gemella_5150,99.517,Gemella sanguinis 20925_1_66
Gemella_5150,99.517,Gemella sanguinis 27098_8_105
Gemella_5150,99.517,Gemella sanguinis 27098_8_106
Gemella_5153,99.034,Gemella n.sp. 27098_8_149
Gemella_5153,99.034,Gemella n.sp. 27098_8_155
Gemella_5153,99.034,Gemella n.sp. 27098_8_92
Gemella_5153,99.034,Gemella sanguinis_ 20925_1_41
Gemella_5153,99.034,Gemella sanguinis 20925_1_65
Gemella_5153,99.034,Gemella sanguinis 20925_1_66
Gemella_5153,99.034,Gemella sanguinis 27098_8_105
Gemella_5153,99.034,Gemella sanguinis 27098_8_106
Gemella_5161,99.517,Gemella n.sp. 27098_8_149
Gemella_5161,99.517,Gemella n.sp. 27098_8_155
Gemella_5161,99.517,Gemella n.sp. 27098_8_92
Gemella_5161,99.517,Gemella sanguinis_ 20925_1_41
Gemella_5161,99.517,Gemella sanguinis 20925_1_65
Gemella_5161,99.517,Gemella sanguinis 20925_1_66
Gemella_5161,99.517,Gemella sanguinis 27098_8_105
Gemella_5161,99.517,Gemella sanguinis 27098_8_106
Gemella_5162,99.517,Gemella n.sp. 27098_8_149
Gemella_5162,99.517,Gemella n.sp. 27098_8_155
Gemella_5162,99.517,Gemella n.sp. 27098_8_92
Gemella_5162,99.517,Gemella sanguinis_ 20925_1_41
Gemella_5162,99.517,Gemella sanguinis 20925_1_65
Gemella_5162,99.517,Gemella sanguinis 20925_1_66
Gemella_5162,99.517,Gemella sanguinis 27098_8_105
Gemella_5162,99.517,Gemella sanguinis 27098_8_106
Gemella_5163,99.517,Gemella n.sp. 27098_8_149
Gemella_5163,99.517,Gemella n.sp. 27098_8_155
Gemella_5163,99.517,Gemella n.sp. 27098_8_92
Gemella_5163,99.517,Gemella sanguinis_ 20925_1_41
Gemella_5163,99.517,Gemella sanguinis 20925_1_65
Gemella_5163,99.517,Gemella sanguinis 20925_1_66
Gemella_5163,99.517,Gemella sanguinis 27098_8_105
Gemella_5163,99.517,Gemella sanguinis 27098_8_106
Gemella_5164,99.034,Gemella n.sp. 27098_8_149
Gemella_5164,99.034,Gemella n.sp. 27098_8_155
Gemella_5164,99.034,Gemella n.sp. 27098_8_92
Gemella_5164,99.034,Gemella sanguinis_ 20925_1_41
Gemella_5164,99.034,Gemella sanguinis 20925_1_65
Gemella_5164,99.034,Gemella sanguinis 20925_1_66
Gemella_5164,99.034,Gemella sanguinis 27098_8_105
Gemella_5164,99.034,Gemella sanguinis 27098_8_106
Gemella_5165,99.517,Gemella n.sp. 27098_8_149
Gemella_5165,99.517,Gemella n.sp. 27098_8_155
Gemella_5165,99.517,Gemella n.sp. 27098_8_92
Gemella_5165,99.517,Gemella sanguinis_ 20925_1_41
Gemella_5165,99.517,Gemella sanguinis 20925_1_65
